,Driver,Stint,Compound,LapCount,FirstLap,LastLap,race_number,fastest_laptime,number_quick_laptime,avg_quick_laptime,fp_session,SpeedTotal,high_engine_mode,low_engine_mode,quali_sim,race_sim,year,event_format,q1,q2,q3
3958,LEC,5.0,SOFT,3,24.0,26.0,16.0,0 days 00:00:55.865000,1.0,0 days 00:00:55.865000,fp1,1042.0,0,0,1,0,2020,conventional,0 days 00:00:54.249000,0 days 00:00:53.825000,0 days 00:00:53.613000
3959,LEC,7.0,SOFT,8,28.0,35.0,16.0,0 days 00:00:58.571000,6.0,0 days 00:00:59.154000,fp1,1097.5,1,0,0,1,2020,conventional,0 days 00:00:54.249000,0 days 00:00:53.825000,0 days 00:00:53.613000
3960,STR,3.0,SOFT,7,16.0,22.0,16.0,0 days 00:00:55.558000,2.0,0 days 00:00:55.722000,fp1,878.0,0,1,1,0,2020,conventional,0 days 00:00:54.595000,0 days 00:00:53.840000,0 days 00:00:54.200000
3961,STR,4.0,SOFT,19,23.0,41.0,16.0,0 days 00:00:58.350000,17.0,0 days 00:00:59.078000,fp1,1096.5,1,0,0,1,2020,conventional,0 days 00:00:54.595000,0 days 00:00:53.840000,0 days 00:00:54.200000
3962,MAG,4.0,SOFT,12,26.0,37.0,16.0,0 days 00:00:59.437000,9.0,0 days 00:00:59.609000,fp1,1092.5,0,0,0,1,2020,conventional,0 days 00:00:54.705000,,
3963,ALB,1.0,SOFT,4,1.0,4.0,16.0,0 days 00:00:56.456000,1.0,0 days 00:00:56.456000,fp1,1002.0,1,0,0,1,2020,conventional,0 days 00:00:54.620000,0 days 00:00:54.026000,
3964,ALB,2.0,SOFT,6,5.0,10.0,16.0,0 days 00:00:56.054000,2.0,0 days 00:00:56.077000,fp1,953.5,0,0,1,0,2020,conventional,0 days 00:00:54.620000,0 days 00:00:54.026000,
3965,ALB,3.0,SOFT,3,11.0,13.0,16.0,0 days 00:00:55.507000,1.0,0 days 00:00:55.507000,fp1,941.0,0,0,1,0,2020,conventional,0 days 00:00:54.620000,0 days 00:00:54.026000,
3966,ALB,4.0,SOFT,3,14.0,16.0,16.0,0 days 00:00:54.811000,1.0,0 days 00:00:54.811000,fp1,955.0,0,0,1,0,2020,conventional,0 days 00:00:54.620000,0 days 00:00:54.026000,
3967,KVY,4.0,SOFT,16,4.0,19.0,16.0,0 days 00:00:55.746000,6.0,0 days 00:00:55.844000,fp1,1071.5,0,0,1,0,2020,conventional,0 days 00:00:54.346000,0 days 00:00:53.856000,0 days 00:00:53.906000
3968,KVY,5.0,SOFT,8,20.0,27.0,16.0,0 days 00:00:55.011000,3.0,0 days 00:00:55.045000,fp1,1048.0,0,1,1,0,2020,conventional,0 days 00:00:54.346000,0 days 00:00:53.856000,0 days 00:00:53.906000
